bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
G28,G28_42298.26560593_10_21_7_22_40.wav,0,2,prelesion,0,2,9,8,
G28,G28_42298.26575432_10_21_7_22_55.wav,0,2,prelesion,0,2,10,13,
G28,G28_42298.26591650_10_21_7_23_11.wav,0,2,prelesion,0,0,9,19,
G28,G28_42298.26602412_10_21_7_23_22.wav,0,2,prelesion,0,1,7,9,
G28,G28_42323.2952295_11_15_0_49_12.wav,0,2,preinjection,2,3,5,4,
G28,G28_42323.2969729_11_15_0_49_29.wav,0,2,preinjection,1,2,5,4,
G28,G28_42323.2984215_11_15_0_49_44.wav,0,2,preinjection,2,4,7,6,
G28,G28_42323.2995553_11_15_0_49_55.wav,0,2,preinjection,3,3,6,6,
G28,G28_42323.3012986_11_15_0_50_12.wav,0,2,preinjection,4,4,5,4,
G28,G28_42414.26353326_2_14_7_19_13.wav,0,2,day 90,0,2,7,4,
G28,G28_42414.26383415_2_14_7_19_43_song1.wav,0,2,day 90,0,1,4,2,
G28,G28_42414.26383415_2_14_7_19_43_song2.wav,0,2,day 90,0,2,5,4,
G28,G28_42414.26394812_2_14_7_19_54.wav,0,2,day 90,0,5,10,8,
G28,G28_42414.26449605_2_14_7_20_49.wav,0,2,day 90,0,1,5,2,
Red5,Red5_42079.25366323_3_16_7_2_46.wav,1,2,prelesion,5,3,4,5,
Red5,Red5_42079.25375213_3_16_7_2_55.wav,1,2,prelesion,3,3,4,3,
Red5,Red5_42079.25385026_3_16_7_3_5_song1.wav,1,2,prelesion,3,3,4,4,
Red5,Red5_42079.25385026_3_16_7_3_5_song2.wav,1,2,prelesion,2,3,4,4,
Red5,Red5_42079.25396049_3_16_7_3_16_song1.wav,1,2,prelesion,3,3,4,4,
Red5,Red5_42096.28289259_4_2_7_51_29_song1.wav,1,2,preinjection,5,7,0,4,
Red5,Red5_42096.28289259_4_2_7_51_29_song2.wav,1,2,preinjection,4,3,2,7,
Red5,Red5_42096.28304244_4_2_7_51_44song1.wav,1,2,preinjection,2,5,1,10,
Red5,Red5_42096.28304244_4_2_7_51_44song2.wav,1,2,preinjection,1,7,1,4,
Red5,Red5_42096.28329510_4_2_7_52_9.wav,1,2,preinjection,0,3,0,6,
Red5,Red5_42187.26898745_7_2_7_28_18.wav,1,2,day 90,2,11,0,0,
Red5,Red5_42187.27038438_7_2_7_30_38.wav,1,2,day 90,0,8,0,2,
Red5,Red5_42187.27068558_7_2_7_31_8.wav,1,2,day 90,2,11,3,3,
Red5,Red5_42187.27084812_7_2_7_31_24.wav,1,2,day 90,2,12,3,0,
Red5,Red5_42187.27116049_7_2_7_31_56.wav,1,2,day 90,1,12,2,2,
O21,O21_42247.29404086_8_31_8_10_4.wav,0,3,prelesion,2,0,11,18,
O21,O21_42247.34233588_8_31_9_30_33.wav,0,3,prelesion,2,0,4,18,
O21,O21_42247.36453412_8_31_10_7_33.wav,0,3,prelesion,2,0,9,18,
O21,O21_42247.36468000_8_31_10_7_48.wav,0,3,prelesion,1,0,3,8,
O21,O21_42247.37581194_8_31_10_26_21.wav,0,3,prelesion,2,0,3,8,
O21,O21_42275.30442395_9_28_8_27_22.wav,0,3,preinjection,3,0,4,10,
O21,O21_42275.30463506_9_28_8_27_43_song1.wav,0,3,preinjection,1,0,8,18,
O21,O21_42275.30463506_9_28_8_27_43_song2.wav,0,3,preinjection,1,0,3,6,
O21,O21_42275.31814268_9_28_8_50_14.wav,0,3,preinjection,3,0,3,10,
O21,O21_42275.32551123_9_28_9_2_31.wav,0,3,preinjection,1,0,9,14,
O21,O21_42365.30805946_12_27_8_33_25.wav,0,3,day 90,1,0,0,3,
O21,O21_42365.32147506_12_27_8_55_47.wav,0,3,day 90,1,0,1,3,
O21,O21_42365.32159950_12_27_8_55_59.wav,0,3,day 90,2,0,3,4,
O21,O21_42365.34259464_12_27_9_30_59.wav,0,3,day 90,2,0,1,2,
O21,O21_42365.34367111_12_27_9_32_47.wav,0,3,day 90,1,0,2,2,
Red1,Red1_42079.25245686_3_16_7_0_45.wav,1,3,prelesion,2,1,1,7,
Red1,Red1_42079.25254046_3_16_7_0_54.wav,1,3,prelesion,2,1,2,6,
Red1,Red1_42079.25472913_3_16_7_4_32.wav,1,3,prelesion,2,2,2,3,
Red1,Red1_42079.25978434_3_16_7_12_58.wav,1,3,prelesion,1,2,2,2,
Red1,Red1_42079.25983107_3_16_7_13_3.wav,1,3,prelesion,0,0,3,4,
Red1,Red1_42103.25789297_4_9_7_9_49.wav,1,3,preinjection,7,10,8,0,
Red1,Red1_42103.25817478_4_9_7_10_17.wav,1,3,preinjection,6,9,6,0,
Red1,Red1_42103.25826642_4_9_7_10_26_song1.wav,1,3,preinjection,3,10,7,0,
Red1,Red1_42103.25826642_4_9_7_10_26_song2.wav,1,3,preinjection,2,12,7,0,
Red1,Red1_42103.25865713_4_9_7_11_5.wav,1,3,preinjection,2,12,10,0,
Red1,Red1_42193.27487732_7_8_7_38_7_song1INs.wav,1,3,day 90,6,3,5,0,
Red1,Red1_42193.27487732_7_8_7_38_7_song3.wav,1,3,day 90,0,4,6,0,
Red1,Red1_42193.27498785_7_8_7_38_18.wav,1,3,day 90,2,3,10,0,
Red1,Red1_42193.27513485_7_8_7_38_33.wav,1,3,day 90,0,6,8,0,
Red1,Red1_42193.27517538_7_8_7_38_37.wav,1,3,day 90,2,5,13,0,
Green36,G36_42428.28061871_2_28_7_47_41.wav,0,#sham3,prelesion,7,6,7,7,
Green36,G36_42428.28072061_2_28_7_47_52.wav,0,#sham3,prelesion,5,9,10,21,
Green36,G36_42428.28309938_2_28_7_51_49_song1.wav,0,#sham3,prelesion,7,2,2,4,
Green36,G36_42428.28309938_2_28_7_51_49_song2.wav,0,#sham3,prelesion,4,4,3,7,
Green36,G36_42428.28814757_2_28_8_0_14.wav,0,#sham3,prelesion,7,7,7,8,
Green36,G36_42454.26542692_3_25_7_22_22.wav,0,#sham3,preinjection,4,1,4,4,
Green36,G36_42454.26557585_3_25_7_22_37.wav,0,#sham3,preinjection,3,3,5,6,
Green36,G36_42454.26580250_3_25_7_23_0.wav,0,#sham3,preinjection,4,3,6,6,
Green36,G36_42454.26595885_3_25_7_23_15.wav,0,#sham3,preinjection,4,4,7,6,
Green36,G36_42454.26637223_3_25_7_23_57.wav,0,#sham3,preinjection,4,5,8,8,
Green36,G36_42544.26030488_6_23_7_13_50.wav,0,#sham3,day 90,4,3,6,6,
Green36,G36_42544.26099686_6_23_7_14_59.wav,0,#sham3,day 90,4,4,8,8,
Green36,G36_42544.26207321_6_23_7_16_47_song1.wav,0,#sham3,day 90,4,4,6,6,
Green36,G36_42544.26207321_6_23_7_16_47_song2.wav,0,#sham3,day 90,2,5,8,8,
Green36,G36_42544.26256772_6_23_7_17_36.wav,0,#sham3,day 90,3,4,6,6,
Green36,G46_42424.28927616_2_24_8_2_7.wav,1,#sham3,prelesion,3,0,1,4,
Green36,G46_42424.29032347_2_24_8_3_52.wav,1,#sham3,prelesion,3,0,0,4,
Green36,G46_42424.32151874_2_24_8_55_51.wav,1,#sham3,prelesion,3,0,0,4,
Green36,G46_42424.32729121_2_24_9_5_29.wav,1,#sham3,prelesion,3,0,0,4,
Green36,G46_42424.32793412_2_24_9_6_33.wav,1,#sham3,prelesion,2,0,1,8,
Green36,G46_42448.46350667_3_19_12_52_30.wav,1,#sham3,preinjection,2,0,8,0,
Green36,G46_42448.46365682_3_19_12_52_45.wav,1,#sham3,preinjection,2,0,8,0,
Green36,G46_42448.46392279_3_19_12_53_12.wav,1,#sham3,preinjection,2,0,12,0,
Green36,G46_42448.50345119_3_19_13_59_5.wav,1,#sham3,preinjection,2,0,16,1,
Green36,G46_42448.55093838_3_19_15_18_13.wav,1,#sham3,preinjection,2,0,10,0,
Green36,G46_42540.28313142_6_19_7_51_53.wav,1,#sham3,day 90,3,0,48,0,
Green36,G46_42540.28329336_6_19_7_52_9_song1.wav,1,#sham3,day 90,2,0,23,0,
